Company,TypeName,Inches,Ram,OS,Weight,Price_euros,Screen,ScreenW,ScreenH,Touchscreen,IPSpanel,RetinaDisplay,CPU_company,CPU_freq,PrimaryStorage,SecondaryStorage,PrimaryStorageType,SecondaryStorageType,GPU_company
Dell,Ultrabook,13.3,8,Windows 10,1.21,1629.0,Full HD,1920,1080,No,Yes,No,Intel,1.6,256,0,SSD,No,Intel
HP,2 in 1 Convertible,13.3,8,Windows 10,1.26,1398.99,Full HD,1920,1080,Yes,Yes,No,Intel,1.6,256,0,SSD,No,Intel
HP,Notebook,14.0,8,Windows 10,1.63,1084.0,Full HD,1920,1080,No,No,No,Intel,1.8,512,0,SSD,No,Intel
Dell,Notebook,15.6,8,Windows 10,2.16,1130.33,Full HD,1920,1080,No,Yes,No,Intel,1.8,256,1024,SSD,HDD,Nvidia
Asus,Notebook,17.3,4,Windows 10,2.0,564.0,Full HD,1920,1080,No,No,No,Intel,2.0,1024,0,HDD,No,Nvidia
Asus,Notebook,15.6,8,Windows 10,1.7,1118.0,Full HD,1920,1080,No,No,No,Intel,1.8,256,0,SSD,No,Nvidia
Acer,Notebook,15.6,6,Windows 10,2.1,479.0,Full HD,1920,1080,Yes,Yes,No,Intel,2.4,1024,0,HDD,No,Intel
MSI,Gaming,15.6,16,Windows 10,1.8,2241.5,Full HD,1920,1080,No,No,No,Intel,2.8,256,2048,SSD,HDD,Nvidia
Lenovo,Notebook,15.6,8,No OS,2.2,629.0,Full HD,1920,1080,No,No,No,Intel,2.5,256,0,SSD,No,Nvidia
HP,Notebook,17.3,16,Windows 10,2.5,1271.0,Full HD,1920,1080,No,No,No,Intel,1.8,512,0,SSD,No,Nvidia
Acer,Notebook,15.6,4,Windows 10,2.1,451.0,Standard,1366,768,No,No,No,AMD,3.0,256,0,SSD,No,AMD
HP,Notebook,15.6,4,No OS,1.86,259.0,Standard,1366,768,No,No,No,Intel,1.6,500,0,HDD,No,Intel
HP,Notebook,14.0,8,Windows 10,1.63,812.0,Full HD,1920,1080,No,No,No,Intel,1.6,1024,0,HDD,No,Intel
Asus,Notebook,14.0,4,Windows 10 S,1.65,277.99,Standard,1366,768,No,No,No,AMD,1.5,64,0,SSD,No,AMD
Dell,Notebook,17.3,16,Windows 10,2.8,1396.0,Full HD,1920,1080,No,No,No,Intel,1.8,256,2048,SSD,HDD,AMD
HP,Notebook,17.3,8,Windows 10,2.5,928.0,Full HD,1920,1080,No,No,No,Intel,1.6,256,0,SSD,No,Intel
Dell,Notebook,15.6,8,Windows 10,2.36,638.99,Standard,1366,768,No,No,No,Intel,2.5,1024,0,HDD,No,AMD
Dell,Notebook,15.6,4,Windows 10,2.2,449.0,Full HD,1920,1080,No,No,No,Intel,2.0,1024,0,HDD,No,AMD
Acer,Ultrabook,14.0,8,Windows 10,1.6,884.0,Full HD,1920,1080,No,Yes,No,Intel,1.8,256,0,SSD,No,Intel
Acer,Notebook,15.6,4,Windows 10,2.2,572.0,Full HD,1920,1080,No,No,No,Intel,2.7,256,0,SSD,No,Nvidia
HP,Notebook,15.6,8,Windows 10,2.05,598.0,Standard,1366,768,No,No,No,Intel,2.7,1024,0,HDD,No,Intel
HP,Notebook,14.0,8,Windows 10,1.63,988.0,Full HD,1920,1080,No,No,No,Intel,1.8,256,0,SSD,No,Intel
Lenovo,Notebook,15.6,4,No OS,1.9,252.36,Standard,1366,768,No,No,No,Intel,1.1,1024,0,HDD,No,Intel
Asus,Gaming,17.3,8,Windows 10,3.0,938.0,Full HD,1920,1080,No,No,No,Intel,2.5,128,1024,SSD,HDD,Nvidia
Lenovo,Notebook,15.6,4,No OS,2.2,499.0,Full HD,1920,1080,No,No,No,Intel,2.5,1024,0,HDD,No,Nvidia
HP,Notebook,13.3,4,Windows 10,1.32,699.0,Full HD,1920,1080,No,Yes,No,Intel,2.5,256,0,SSD,No,Intel
Acer,Notebook,17.3,4,Windows 10,3.0,655.0,Full HD,1920,1080,No,Yes,No,Intel,2.7,1024,0,HDD,No,Nvidia
Lenovo,Notebook,14.0,8,Windows 10,1.75,1116.02,Full HD,1920,1080,No,Yes,No,Intel,1.6,256,0,SSD,No,AMD
Lenovo,Gaming,15.6,8,No OS,2.4,869.0,Full HD,1920,1080,No,Yes,No,Intel,2.8,256,0,SSD,No,Nvidia
Toshiba,Notebook,15.6,4,Windows 10,2.1,602.0,Standard,1366,768,No,No,No,Intel,2.3,500,0,HDD,No,Intel
HP,Notebook,15.6,4,Windows 10,1.86,369.0,Standard,1366,768,No,No,No,AMD,2.5,256,0,SSD,No,AMD
Asus,Ultrabook,14.0,8,Windows 10,1.25,1099.0,Full HD,1920,1080,No,No,No,Intel,1.8,256,0,SSD,No,Intel
HP,Ultrabook,12.5,8,Windows 10,0.97,2014.0,4K Ultra HD,3840,2160,Yes,Yes,No,Intel,1.2,512,0,SSD,No,Intel
Asus,Notebook,15.6,4,Windows 10,2.0,344.0,Full HD,1920,1080,No,No,No,Intel,1.1,1024,0,HDD,No,Intel
MSI,Gaming,17.3,16,Windows 10,2.9,2029.0,Full HD,1920,1080,No,No,No,Intel,2.8,256,1024,SSD,HDD,Nvidia
Acer,Notebook,15.6,4,Windows 10,2.1,447.0,Standard,1366,768,No,No,No,Intel,2.0,1024,0,HDD,No,Intel
Dell,Gaming,15.6,16,Windows 10,2.56,1249.26,Full HD,1920,1080,No,No,No,Intel,2.8,512,0,SSD,No,Nvidia
Dell,Gaming,15.6,8,Windows 10,2.62,899.0,Full HD,1920,1080,No,No,No,Intel,2.8,1024,0,Hybrid,No,Nvidia
Lenovo,Notebook,15.6,4,Windows 10,1.9,498.0,Standard,1366,768,No,No,No,Intel,2.5,128,0,SSD,No,Intel
MSI,Gaming,17.3,16,Windows 10,2.8,1890.0,Full HD,1920,1080,No,No,No,Intel,2.8,256,1024,SSD,HDD,Nvidia
HP,Ultrabook,14.0,4,Windows 10,1.48,1082.0,Full HD,1920,1080,No,No,No,Intel,2.7,256,0,SSD,No,Intel
HP,Notebook,15.6,6,Windows 10,1.91,619.0,Full HD,1920,1080,No,No,No,Intel,1.6,256,0,SSD,No,AMD
Lenovo,2 in 1 Convertible,14.0,4,Windows 10,1.74,629.0,Full HD,1920,1080,Yes,Yes,No,Intel,2.4,256,0,SSD,No,Intel
Asus,2 in 1 Convertible,13.3,8,Windows 10,1.1,1315.0,Full HD,1920,1080,Yes,No,No,Intel,1.6,256,0,SSD,No,Intel
Dell,2 in 1 Convertible,15.6,8,Windows 10,1.56,1049.0,Full HD,1920,1080,Yes,No,No,Intel,1.8,256,0,SSD,No,Intel
Toshiba,Notebook,15.6,4,Windows 10,2.1,447.0,Standard,1366,768,No,No,No,Intel,2.2,500,0,HDD,No,Intel
Asus,Notebook,15.6,4,Windows 10,2.03,403.0,Standard,1366,768,No,No,No,AMD,3.0,1024,0,HDD,No,AMD
Acer,Notebook,17.3,4,Windows 10,3.0,805.0,Full HD,1920,1080,No,Yes,No,Intel,1.6,256,0,SSD,No,Nvidia
Dell,Notebook,15.6,8,Windows 10,2.13,728.0,Full HD,1920,1080,No,No,No,Intel,1.6,256,0,SSD,No,AMD
Lenovo,Gaming,15.6,16,Windows 10,2.5,1079.0,Full HD,1920,1080,No,Yes,No,Intel,2.8,256,0,SSD,No,Nvidia
Acer,Notebook,15.6,4,Windows 10,2.1,348.0,Standard,1366,768,No,No,No,Intel,1.1,1024,0,HDD,No,Intel
MSI,Gaming,15.6,16,Windows 10,2.4,1799.0,Full HD,1920,1080,No,Yes,No,Intel,2.8,256,1024,SSD,HDD,Nvidia
Acer,Notebook,15.6,4,Windows 10,2.1,363.51,Standard,1366,768,No,No,No,Intel,1.1,1024,0,HDD,No,Intel
Dell,Gaming,15.6,8,Windows 10,2.56,1060.49,Full HD,1920,1080,No,No,No,Intel,2.8,128,1024,SSD,HDD,Nvidia
Acer,Notebook,17.3,8,Windows 10,3.0,854.0,Full HD,1920,1080,No,Yes,No,Intel,1.6,256,0,SSD,No,Nvidia
HP,Notebook,13.3,4,Windows 10,1.49,754.0,Full HD,1920,1080,No,Yes,No,Intel,1.6,500,0,HDD,No,Intel
Huawei,Ultrabook,13.0,8,Windows 10,1.05,1349.0,Full HD,2160,1440,No,Yes,No,Intel,2.5,256,0,SSD,No,Intel
HP,Notebook,17.3,6,Windows 10,2.71,699.0,Full HD,1920,1080,No,Yes,No,Intel,2.5,2048,0,HDD,No,AMD
Lenovo,Notebook,15.6,4,No OS,2.2,309.0,Standard,1366,768,No,No,No,AMD,2.9,500,0,HDD,No,AMD
Toshiba,Notebook,15.6,4,Windows 10,2.0,489.0,Standard,1366,768,No,No,No,Intel,2.4,500,0,HDD,No,Intel
HP,Notebook,17.3,8,Windows 10,2.5,923.0,Full HD,1920,1080,No,No,No,Intel,1.6,256,0,SSD,No,Nvidia
Dell,Notebook,15.6,8,Windows 10,2.3,459.0,Standard,1366,768,No,No,No,Intel,2.4,1024,0,HDD,No,Intel
Acer,Notebook,15.6,4,Windows 10,2.1,449.0,Standard,1366,768,No,No,No,Intel,2.0,128,0,SSD,No,Intel
MSI,Gaming,18.4,32,Windows 10,4.4,2799.0,Full HD,1920,1080,No,No,No,Intel,2.9,512,1024,SSD,HDD,Nvidia
Lenovo,Notebook,15.6,8,Windows 10,1.9,813.0,Full HD,1920,1080,No,No,No,Intel,2.5,128,1024,SSD,HDD,AMD
HP,2 in 1 Convertible,13.3,8,Windows 10,1.29,1499.0,4K Ultra HD,3840,2160,Yes,Yes,No,Intel,1.6,256,0,SSD,No,Intel
Dell,Notebook,15.6,16,Linux,2.02,1049.0,Full HD,1920,1080,No,No,No,Intel,1.8,256,2048,SSD,HDD,AMD
Dell,Ultrabook,13.3,8,Windows 10,1.23,1399.0,Full HD,1920,1080,No,No,No,Intel,1.6,256,0,SSD,No,Intel
Lenovo,2 in 1 Convertible,13.9,16,Windows 10,1.4,1849.0,4K Ultra HD,3840,2160,Yes,Yes,No,Intel,1.8,512,0,SSD,No,Intel
Toshiba,Notebook,15.6,8,Windows 10,2.0,793.0,Standard,1366,768,No,No,No,Intel,2.5,128,0,SSD,No,Intel
Xiaomi,Notebook,15.6,8,No OS,1.95,1199.0,Full HD,1920,1080,No,Yes,No,Intel,1.6,256,0,SSD,No,Nvidia
Dell,Notebook,17.3,16,Windows 10,2.77,1549.0,Full HD,1920,1080,Yes,No,No,Intel,1.8,512,0,SSD,No,Nvidia
Dell,Notebook,15.6,16,Windows 10,2.06,2397.0,4K Ultra HD,3840,2160,Yes,No,No,Intel,2.8,512,0,SSD,No,Nvidia
Lenovo,Gaming,15.6,8,No OS,2.4,779.0,Full HD,1920,1080,No,Yes,No,Intel,2.5,256,0,SSD,No,Nvidia
Acer,Ultrabook,13.3,8,Windows 10,1.12,989.0,Full HD,1920,1080,No,Yes,No,Intel,1.2,256,0,SSD,No,Intel
Dell,Notebook,17.3,8,Windows 10,2.8,1085.0,Full HD,1920,1080,No,No,No,Intel,1.8,128,1024,SSD,HDD,AMD
Lenovo,2 in 1 Convertible,14.0,16,Windows 10,1.42,2824.0,Standard,2560,1440,Yes,No,No,Intel,2.7,1024,0,SSD,No,Intel
Vero,Notebook,14.0,4,Windows 10,1.3,260.0,Full HD,1920,1080,No,Yes,No,Intel,1.1,32,0,Flash Storage,No,Intel
Xiaomi,Ultrabook,13.3,8,No OS,1.3,999.9,Full HD,1920,1080,No,Yes,No,Intel,2.5,256,0,SSD,No,Nvidia
Lenovo,Notebook,17.3,8,No OS,2.8,698.0,Standard,1600,900,No,No,No,Intel,1.6,256,0,SSD,No,Nvidia
